
year,state,locationdesc,measure,value,ci_lower,ci_upper,sample_size
2011,AK,Alaska,coverage,77.6,75.3,79.9,2303
2011,AL,Alabama,coverage,77.8,76.2,79.5,4061
2011,AR,Arkansas,coverage,70.7,67.9,73.4,2207
2011,AZ,Arizona,coverage,77.6,75.0,80.2,3143
2011,CA,California,coverage,78.5,77.5,79.5,10369
2011,CO,Colorado,coverage,79.0,77.7,80.4,7835
2011,CT,Connecticut,coverage,85.2,83.7,86.8,4085
2011,DC,District of Columbia,coverage,91.5,89.8,93.1,2839
2011,DE,Delaware,coverage,87.4,85.7,89.1,2808
2011,FL,Florida,coverage,70.0,68.3,71.6,5602
2011,GA,Georgia,coverage,71.0,69.3,72.8,5334
2011,GU,Guam,coverage,69.8,66.9,72.8,1225
2011,HI,Hawaii,coverage,88.6,87.3,90.0,4501
2011,IA,Iowa,coverage,85.8,84.5,87.1,4218
2011,ID,Idaho,coverage,73.5,71.3,75.7,3166
2011,IL,Illinois,coverage,80.0,78.0,82.1,3132
2011,IN,Indiana,coverage,76.4,74.9,77.9,4540
2011,KS,Kansas,coverage,79.9,79.0,80.8,11775
2011,KY,Kentucky,coverage,77.7,76.1,79.4,5925
2011,LA,Louisiana,coverage,73.2,71.6,74.9,5511
2011,MA,Massachusetts,coverage,92.3,91.5,93.0,14511
2011,MD,Maryland,coverage,84.7,83.3,86.2,6341
2011,ME,Maine,coverage,84.7,83.6,85.8,7705
2011,MI,Michigan,coverage,81.7,80.4,83.0,6148
2011,MN,Minnesota,coverage,86.5,85.5,87.6,10213
2011,MO,Missouri,coverage,78.7,76.9,80.4,3401
2011,MS,Mississippi,coverage,69.3,67.6,70.9,4393
2011,MT,Montana,coverage,75.9,74.4,77.5,5486
2011,NC,North Carolina,coverage,75.1,73.5,76.7,6078
2011,ND,North Dakota,coverage,83.8,82.1,85.6,3153
2011,NE,Nebraska,coverage,80.9,80.0,81.7,13965
2011,NH,New Hampshire,coverage,84.0,82.5,85.5,3878
2011,NJ,New Jersey,coverage,82.1,81.0,83.2,9157
2011,NM,New Mexico,coverage,73.9,72.4,75.4,5048
2011,NV,Nevada,coverage,67.9,65.2,70.6,2895
2011,NY,New York,coverage,82.7,81.2,84.2,4643
2011,OH,Ohio,coverage,83.2,81.8,84.5,5778
2011,OK,Oklahoma,coverage,73.4,71.7,75.1,4304
2011,OR,Oregon,coverage,77.4,75.6,79.2,3371
2011,PA,Pennsylvania,coverage,84.4,83.2,85.6,6696
2011,PR,Puerto Rico,coverage,88.8,87.6,90.0,4015
2011,RI,Rhode Island,coverage,83.4,81.8,85.0,3829
2011,SC,South Carolina,coverage,74.6,73.2,76.0,6590
2011,SD,South Dakota,coverage,84.6,82.7,86.5,4803
2011,TN,Tennessee,coverage,78.3,75.4,81.1,3025
2011,TX,Texas,coverage,65.4,63.7,67.0,7218
2011,US,"All States, DC and Territories (median) **",coverage,78.7,,,53
2011,UT,Utah,coverage,78.4,77.2,79.5,7795
2011,UW,All States and DC (median) **,coverage,78.7,,,51
2011,VA,Virginia,coverage,82.3,80.5,84.0,3951
2011,VT,Vermont,coverage,88.9,87.6,90.2,4371
2011,WA,Washington,coverage,78.7,77.3,80.2,7998
2011,WI,Wisconsin,coverage,85.1,83.3,86.9,3133
2011,WV,West Virginia,coverage,75.0,73.1,76.9,2871
2011,WY,Wyoming,coverage,75.3,73.4,77.2,3851
2012,AK,Alaska,coverage,80.1,78.3,82.0,2838
2012,AL,Alabama,coverage,76.5,74.8,78.2,4711
