
year,state,locationdesc,measure,value,ci_lower,ci_upper,sample_size
2011,AK,Alaska,obesity,27.4,25.2,29.6,950
2011,AL,Alabama,obesity,32.0,30.5,33.5,2416
2011,AR,Arkansas,obesity,30.9,28.8,33.1,1385
2011,AZ,Arizona,obesity,25.1,22.9,27.3,1546
2011,CA,California,obesity,23.8,22.9,24.7,3971
2011,CO,Colorado,obesity,20.7,19.7,21.8,2732
2011,CT,Connecticut,obesity,24.5,23.0,26.0,1599
2011,DC,District of Columbia,obesity,23.8,21.8,25.7,1037
2011,DE,Delaware,obesity,28.8,26.9,30.7,1354
2011,FL,Florida,obesity,26.6,25.4,27.9,3233
2011,GA,Georgia,obesity,28.0,26.6,29.3,2731
2011,GU,Guam,obesity,27.4,24.8,30.1,462
2011,HI,Hawaii,obesity,21.9,20.4,23.3,1538
2011,IA,Iowa,obesity,29.0,27.6,30.3,2013
2011,ID,Idaho,obesity,27.1,25.3,28.8,1570
2011,IL,Illinois,obesity,27.1,25.4,28.9,1518
2011,IN,Indiana,obesity,30.8,29.5,32.2,2585
2011,KS,Kansas,obesity,29.6,28.7,30.4,5907
2011,KY,Kentucky,obesity,30.4,28.9,31.8,3280
2011,LA,Louisiana,obesity,33.4,32.0,34.9,3574
2011,MA,Massachusetts,obesity,22.7,21.8,23.7,5041
2011,MD,Maryland,obesity,28.3,26.9,29.7,2646
2011,ME,Maine,obesity,27.8,26.8,28.9,3446
2011,MI,Michigan,obesity,31.3,29.9,32.6,3327
2011,MN,Minnesota,obesity,25.7,24.6,26.8,3720
2011,MO,Missouri,obesity,30.3,28.6,31.9,1859
2011,MS,Mississippi,obesity,34.9,33.5,36.3,2953
2011,MT,Montana,obesity,24.6,23.3,25.9,2500
2011,NC,North Carolina,obesity,29.1,27.7,30.5,2981
2011,ND,North Dakota,obesity,27.8,26.3,29.4,1433
2011,NE,Nebraska,obesity,28.4,27.6,29.2,7264
2011,NH,New Hampshire,obesity,26.5,25.0,28.0,1702
2011,NJ,New Jersey,obesity,23.7,22.7,24.8,3497
2011,NM,New Mexico,obesity,26.3,25.1,27.6,2310
2011,NV,Nevada,obesity,24.5,22.4,26.6,1277
2011,NY,New York,obesity,24.5,23.2,25.8,1771
2011,OH,Ohio,obesity,29.7,28.3,31.0,2748
2011,OK,Oklahoma,obesity,31.1,29.7,32.5,2542
