
year,state,locationdesc,measure,value,ci_lower,ci_upper,sample_size
2011,AK,Alaska,smoking,22.9,20.9,25.0,743
2011,AL,Alabama,smoking,24.3,22.9,25.8,1490
2011,AR,Arkansas,smoking,27.0,24.8,29.1,928
2011,AZ,Arizona,smoking,19.3,17.2,21.3,1023
2011,CA,California,smoking,13.7,12.9,14.4,2052
2011,CO,Colorado,smoking,18.3,17.2,19.3,1963
2011,CT,Connecticut,smoking,17.1,15.7,18.5,958
2011,DC,District of Columbia,smoking,20.8,18.7,22.8,690
2011,DE,Delaware,smoking,21.8,19.9,23.6,839
2011,FL,Florida,smoking,19.3,18.2,20.4,2080
2011,GA,Georgia,smoking,21.2,19.9,22.5,1612
2011,GU,Guam,smoking,30.5,27.8,33.3,501
2011,HI,Hawaii,smoking,16.8,15.4,18.2,1038
2011,IA,Iowa,smoking,20.4,19.1,21.6,1182
2011,ID,Idaho,smoking,17.2,15.5,18.9,855
2011,IL,Illinois,smoking,20.9,19.2,22.7,889
2011,IN,Indiana,smoking,25.6,24.3,27.0,1746
2011,KS,Kansas,smoking,22.0,21.2,22.8,3547
2011,KY,Kentucky,smoking,29.0,27.5,30.5,2528
2011,LA,Louisiana,smoking,25.7,24.3,27.1,2174
2011,MA,Massachusetts,smoking,18.2,17.3,19.2,3637
2011,MD,Maryland,smoking,19.1,17.8,20.4,1477
2011,ME,Maine,smoking,22.8,21.7,23.9,2219
2011,MI,Michigan,smoking,23.3,22.0,24.6,2000
2011,MN,Minnesota,smoking,19.1,18.1,20.1,2479
2011,MO,Missouri,smoking,25.0,23.4,26.6,1365
2011,MS,Mississippi,smoking,26.0,24.6,27.3,1752
2011,MT,Montana,smoking,22.1,20.8,23.4,1867
2011,NC,North Carolina,smoking,21.8,20.5,23.1,2020
2011,ND,North Dakota,smoking,21.9,20.3,23.5,861
2011,NE,Nebraska,smoking,20.0,19.3,20.7,4205
2011,NH,New Hampshire,smoking,19.3,17.9,20.8,1014
2011,NJ,New Jersey,smoking,16.8,15.9,17.7,2278
2011,NM,New Mexico,smoking,21.5,20.3,22.7,1665
2011,NV,Nevada,smoking,22.9,20.9,24.9,1083
2011,NY,New York,smoking,18.1,16.9,19.4,1213
2011,OH,Ohio,smoking,25.1,23.8,26.4,1996
2011,OK,Oklahoma,smoking,26.1,24.7,27.5,1857
2011,OR,Oregon,smoking,19.7,18.3,21.2,985
2011,PA,Pennsylvania,smoking,22.4,21.3,23.6,2235
2011,PR,Puerto Rico,smoking,14.8,13.6,15.9,689
2011,RI,Rhode Island,smoking,20.0,18.6,21.5,1054
2011,SC,South Carolina,smoking,23.1,21.9,24.4,2367
2011,SD,South Dakota,smoking,23.0,21.1,25.0,1480
2011,TN,Tennessee,smoking,23.0,20.6,25.4,1140
2011,TX,Texas,smoking,19.2,18.0,20.4,2175
2011,US,"All States, DC and Territories (median) **",smoking,21.2,,,53
2011,UT,Utah,smoking,11.8,11.0,12.7,1272
