region,year,measure,prevalence_pct,sample_size_total
Midwest,2011,coverage,82.16094076138918,74259
Midwest,2012,coverage,82.83657421091112,64283
Midwest,2013,coverage,83.09371742330801,75399
Midwest,2014,coverage,86.7362812410423,73261
Midwest,2015,coverage,88.17102945127037,70727
Midwest,2016,coverage,88.9591470998097,66737
Midwest,2017,coverage,88.00359871304302,75527
Midwest,2018,coverage,88.2822048761989,63287
Midwest,2019,coverage,87.11128963187363,63049
Midwest,2020,coverage,87.903082996372,62569
Midwest,2021,coverage,91.28369005460164,70877
Midwest,2022,coverage,92.01885434478471,64330
Midwest,2023,coverage,91.67326803705667,64118
