year,state,measure,prevalence_pct,sample_size
2011,IA,coverage,85.8,4218
2011,IL,coverage,80.0,3132
2011,IN,coverage,76.4,4540
2011,KS,coverage,79.9,11775
2011,MI,coverage,81.7,6148
2011,MN,coverage,86.5,10213
2011,MO,coverage,78.7,3401
2011,ND,coverage,83.8,3153
2011,NE,coverage,80.9,13965
2011,OH,coverage,83.2,5778
2011,SD,coverage,84.6,4803
2011,WI,coverage,85.1,3133
2012,IA,coverage,86.6,4087
2012,IL,coverage,80.0,3085
2012,IN,coverage,78.2,4726
2012,KS,coverage,79.5,6585
2012,MI,coverage,83.4,5864
2012,MN,coverage,86.8,7689
2012,MO,coverage,79.7,3471
2012,ND,coverage,84.0,2859
2012,NE,coverage,82.0,10469
2012,OH,coverage,82.3,7519
2012,SD,coverage,86.2,4773
2012,WI,coverage,85.3,3156
2013,IA,coverage,87.3,4653
2013,IL,coverage,80.6,3227
2013,IN,coverage,79.1,5562
2013,KS,coverage,79.2,12908
2013,MI,coverage,82.6,7200
2013,MN,coverage,87.1,9096
2013,MO,coverage,81.2,3638
2013,ND,coverage,87.6,4690
2013,NE,coverage,82.4,9430
2013,OH,coverage,83.3,6936
2013,SD,coverage,85.1,4117
2013,WI,coverage,85.8,3942
2014,IA,coverage,90.4,4719
2014,IL,coverage,85.7,3042
2014,IN,coverage,82.0,6224
2014,KS,coverage,82.4,7899
2014,MI,coverage,87.3,4910
2014,MN,coverage,91.2,10839
2014,MO,coverage,83.9,3667
2014,ND,coverage,89.6,4519
2014,NE,coverage,84.7,12653
2014,OH,coverage,87.5,6153
2014,SD,coverage,87.8,4312
2014,WI,coverage,89.6,4324
2015,IA,coverage,92.2,3607
2015,IL,coverage,89.0,3174
2015,IN,coverage,86.0,3253
2015,KS,coverage,84.3,13297
2015,MI,coverage,88.0,5406
2015,MN,coverage,92.7,10826
2015,MO,coverage,84.9,3850
2015,ND,coverage,90.3,2891
2015,NE,coverage,85.6,10066
2015,OH,coverage,89.8,6417
2015,SD,coverage,89.4,4102
2015,WI,coverage,90.8,3838
2016,IA,coverage,92.2,4171
2016,IL,coverage,89.3,2882
2016,IN,coverage,86.4,5807
2016,KS,coverage,84.1,6725
2016,MI,coverage,90.2,7256
2016,MN,coverage,92.3,10866
2016,MO,coverage,86.2,3615
2016,ND,coverage,90.7,3351
2016,NE,coverage,85.3,8588
2016,OH,coverage,91.6,7008
2016,SD,coverage,89.7,3299
2016,WI,coverage,89.7,3169
2017,IA,coverage,91.4,4639
2017,IL,coverage,87.4,3218
2017,IN,coverage,87.2,7397
2017,KS,coverage,84.7,12567
2017,MI,coverage,90.2,6403
2017,MN,coverage,90.3,10577
2017,MO,coverage,84.2,3958
2017,ND,coverage,89.8,3985
2017,NE,coverage,85.6,8551
2017,OH,coverage,90.4,6821
2017,SD,coverage,87.2,3897
2017,WI,coverage,91.0,3514
2018,IA,coverage,90.6,5530
2018,IL,coverage,85.9,3218
2018,IN,coverage,86.3,3920
2018,KS,coverage,84.0,5776
2018,MI,coverage,91.0,6359
2018,MN,coverage,90.5,10729
2018,MO,coverage,84.6,2970
2018,ND,coverage,89.3,2930
2018,NE,coverage,85.7,7914
2018,OH,coverage,91.4,7236
2018,SD,coverage,85.8,3789
2018,WI,coverage,88.8,2916
2019,IA,coverage,90.4,5728
2019,IL,coverage,84.4,3295
2019,IN,coverage,86.6,4662
2019,KS,coverage,84.5,6262
2019,MI,coverage,88.9,5852
2019,MN,coverage,90.2,9626
2019,MO,coverage,83.2,3595
2019,ND,coverage,90.8,2893
2019,NE,coverage,82.9,8130
2019,OH,coverage,88.4,6851
2019,SD,coverage,85.1,3430
2019,WI,coverage,88.7,2725
2020,IA,coverage,90.5,5728
2020,IL,coverage,88.8,2231
2020,IN,coverage,86.1,4654
2020,KS,coverage,85.2,5739
2020,MI,coverage,91.6,4124
2020,MN,coverage,89.9,9962
2020,MO,coverage,84.2,4889
2020,ND,coverage,89.6,2322
2020,NE,coverage,84.9,7928
2020,OH,coverage,88.4,8386
2020,SD,coverage,87.2,3652
2020,WI,coverage,90.7,2954
2021,IA,coverage,92.6,5359
2021,IL,coverage,92.0,1964
2021,IN,coverage,90.9,5514
2021,KS,coverage,88.7,9989
2021,MI,coverage,93.8,5302
2021,MN,coverage,93.8,9945
2021,MO,coverage,87.7,6472
2021,ND,coverage,92.3,3043
2021,NE,coverage,89.6,8001
2021,OH,coverage,91.9,8081
2021,SD,coverage,91.2,3887
2021,WI,coverage,94.3,3320
2022,IA,coverage,93.3,5011
2022,IL,coverage,87.7,2496
2022,IN,coverage,91.2,5713
2022,KS,coverage,89.2,5830
2022,MI,coverage,94.4,5340
2022,MN,coverage,93.9,10206
2022,MO,coverage,88.5,4138
2022,ND,coverage,95.0,2328
2022,NE,coverage,89.2,3671
2022,OH,coverage,92.7,9349
2022,SD,coverage,91.4,4195
2022,WI,coverage,93.3,6053
2023,IA,coverage,92.6,5017
2023,IL,coverage,91.5,3232
2023,IN,coverage,90.9,5964
2023,KS,coverage,89.6,5472
2023,MI,coverage,94.1,5218
2023,MN,coverage,93.1,9021
2023,MO,coverage,91.4,3973
2023,ND,coverage,94.0,3021
2023,NE,coverage,88.9,7057
2023,OH,coverage,92.2,7019
2023,SD,coverage,89.8,3053
2023,WI,coverage,92.0,6071
