region,year,measure,prevalence_pct,sample_size_total
Midwest,2011,obesity,28.861509287711428,36123
Midwest,2012,obesity,29.343198357902594,32154
Midwest,2013,obesity,29.987579286679836,38468
Midwest,2014,obesity,30.67890223906674,37203
Midwest,2015,obesity,31.120628860190905,35620
Midwest,2016,obesity,31.20351326943805,34327
Midwest,2017,obesity,32.463887794305975,40604
Midwest,2018,obesity,33.22744918931263,35032
Midwest,2019,obesity,33.981609007388016,36681
Midwest,2020,obesity,34.224074340045384,34813
Midwest,2021,obesity,35.83164829841346,41285
Midwest,2022,obesity,36.201824329637496,38151
Midwest,2023,obesity,35.95882878285277,39190
