year,state,measure,prevalence_pct,sample_size
2011,IA,obesity,29.0,2013
2011,IL,obesity,27.1,1518
2011,IN,obesity,30.8,2585
2011,KS,obesity,29.6,5907
2011,MI,obesity,31.3,3327
2011,MN,obesity,25.7,3720
2011,MO,obesity,30.3,1859
2011,ND,obesity,27.8,1433
2011,NE,obesity,28.4,7264
2011,OH,obesity,29.7,2748
2011,SD,obesity,28.1,2299
2011,WI,obesity,27.7,1450
2012,IA,obesity,30.4,2097
2012,IL,obesity,28.1,1562
2012,IN,obesity,31.4,2598
2012,KS,obesity,29.9,3342
2012,MI,obesity,31.1,3193
2012,MN,obesity,25.7,2966
2012,MO,obesity,29.6,2018
2012,ND,obesity,29.7,1366
2012,NE,obesity,28.6,5405
2012,OH,obesity,30.1,3849
2012,SD,obesity,28.1,2203
2012,WI,obesity,29.7,1555
2013,IA,obesity,31.3,2434
2013,IL,obesity,29.4,1619
2013,IN,obesity,31.8,3157
2013,KS,obesity,30.0,6656
2013,MI,obesity,31.5,3866
2013,MN,obesity,25.5,3598
2013,MO,obesity,30.4,2128
2013,ND,obesity,31.0,2342
2013,NE,obesity,29.6,5029
2013,OH,obesity,30.4,3635
2013,SD,obesity,29.9,2040
2013,WI,obesity,29.8,1964
2014,IA,obesity,30.9,2407
2014,IL,obesity,29.3,1394
2014,IN,obesity,32.7,3464
2014,KS,obesity,31.3,4110
2014,MI,obesity,30.7,2533
2014,MN,obesity,27.6,4382
2014,MO,obesity,30.2,2158
2014,ND,obesity,32.2,2341
2014,NE,obesity,30.2,6633
2014,OH,obesity,32.6,3490
2014,SD,obesity,29.8,2155
2014,WI,obesity,31.2,2136
2015,IA,obesity,32.1,1817
2015,IL,obesity,30.8,1547
2015,IN,obesity,31.3,1810
2015,KS,obesity,34.2,7154
2015,MI,obesity,31.2,2599
2015,MN,obesity,26.1,4230
2015,MO,obesity,32.4,2248
2015,ND,obesity,31.0,1488
2015,NE,obesity,31.4,5385
2015,OH,obesity,29.8,3444
2015,SD,obesity,30.4,2067
2015,WI,obesity,30.7,1831
2016,IA,obesity,32.0,2165
2016,IL,obesity,31.6,1401
2016,IN,obesity,32.5,3414
2016,KS,obesity,31.2,3499
2016,MI,obesity,32.5,3660
2016,MN,obesity,27.8,4461
2016,MO,obesity,31.7,2160
2016,ND,obesity,31.9,1757
2016,NE,obesity,32.0,4752
2016,OH,obesity,31.5,3816
2016,SD,obesity,29.6,1669
2016,WI,obesity,30.7,1573
2017,IA,obesity,36.4,2603
2017,IL,obesity,31.1,1633
2017,IN,obesity,33.6,4434
2017,KS,obesity,32.4,6551
2017,MI,obesity,32.3,3275
2017,MN,obesity,28.4,4622
2017,MO,obesity,32.5,2317
2017,ND,obesity,33.2,2241
2017,NE,obesity,32.8,4963
2017,OH,obesity,33.8,4001
2017,SD,obesity,31.9,2258
2017,WI,obesity,32.0,1706
2018,IA,obesity,35.3,2987
2018,IL,obesity,31.8,1550
2018,IN,obesity,34.1,2362
2018,KS,obesity,34.4,3452
2018,MI,obesity,33.0,3128
2018,MN,obesity,30.1,4788
2018,MO,obesity,35.0,1960
2018,ND,obesity,35.1,1829
2018,NE,obesity,34.1,4918
2018,OH,obesity,34.0,4272
2018,SD,obesity,30.1,2234
2018,WI,obesity,32.0,1552
2019,IA,obesity,33.9,3146
2019,IL,obesity,31.6,1634
2019,IN,obesity,35.3,2786
2019,KS,obesity,35.2,3619
2019,MI,obesity,36.0,3481
2019,MN,obesity,30.1,4387
2019,MO,obesity,34.8,2336
2019,ND,obesity,34.8,1830
2019,NE,obesity,34.1,5293
2019,OH,obesity,34.8,4534
2019,SD,obesity,33.0,2060
2019,WI,obesity,34.2,1575
2020,IA,obesity,36.5,3152
2020,IL,obesity,32.4,1025
2020,IN,obesity,36.8,2772
2020,KS,obesity,35.3,3321
2020,MI,obesity,35.2,2345
2020,MN,obesity,30.7,4569
2020,MO,obesity,34.0,2965
2020,ND,obesity,33.1,1360
2020,NE,obesity,34.0,4755
2020,OH,obesity,35.5,4879
2020,SD,obesity,33.2,2100
2020,WI,obesity,32.3,1570
2021,IA,obesity,36.4,3146
2021,IL,obesity,34.2,911
2021,IN,obesity,36.3,3181
2021,KS,obesity,36.0,5834
2021,MI,obesity,34.4,2848
2021,MN,obesity,32.4,4708
2021,MO,obesity,37.2,4214
2021,ND,obesity,35.2,1950
2021,NE,obesity,35.9,5050
2021,OH,obesity,37.8,5077
2021,SD,obesity,38.4,2449
2021,WI,obesity,33.9,1917
2022,IA,obesity,37.4,3085
2022,IL,obesity,33.4,1283
2022,IN,obesity,37.7,3357
2022,KS,obesity,35.7,3716
2022,MI,obesity,34.5,2976
2022,MN,obesity,33.6,5092
2022,MO,obesity,36.4,2536
2022,ND,obesity,35.4,1356
2022,NE,obesity,35.3,2568
2022,OH,obesity,38.1,5873
2022,SD,obesity,36.8,2527
2022,WI,obesity,37.6,3782
2023,IA,obesity,37.8,3120
2023,IL,obesity,36.0,1612
2023,IN,obesity,37.8,3710
2023,KS,obesity,35.9,3319
2023,MI,obesity,35.4,3156
2023,MN,obesity,33.2,4780
2023,MO,obesity,35.3,2394
2023,ND,obesity,35.6,1845
2023,NE,obesity,36.6,4542
2023,OH,obesity,36.4,4535
2023,SD,obesity,36.0,1943
2023,WI,obesity,35.9,4234
