region,year,measure,prevalence_pct,sample_size_total
Midwest,2011,smoking,22.04661114049004,22692
Midwest,2012,smoking,21.21181671607635,19227
Midwest,2013,smoking,20.326596863426456,21871
Midwest,2014,smoking,18.955271313757418,19037
Midwest,2015,smoking,18.663432011487902,18106
Midwest,2016,smoking,18.801975422074193,17414
Midwest,2017,smoking,18.177620885818772,19688
Midwest,2018,smoking,17.887668455575433,16770
Midwest,2019,smoking,17.284320241691844,16550
Midwest,2020,smoking,16.729568852561304,16027
Midwest,2021,smoking,15.608693358344569,17059
Midwest,2022,smoking,14.967335301220984,14906
Midwest,2023,smoking,13.512526464361327,14170
