region,year,measure,prevalence_pct,sample_size_total
SouthEast,2011,smoking,23.660533821463538,23491
SouthEast,2012,smoking,22.82795094061232,21688
SouthEast,2013,smoking,21.042187039454294,23749
SouthEast,2014,smoking,21.4877950806141,18173
SouthEast,2015,smoking,20.457121564419005,16773
SouthEast,2016,smoking,18.937909992372237,22287
SouthEast,2017,smoking,19.23302112713533,18791
SouthEast,2018,smoking,18.007326710937928,18221
SouthEast,2019,smoking,17.90270461792843,16934
SouthEast,2020,smoking,16.884565140220094,14085
SouthEast,2021,smoking,16.47151983860121,11896
SouthEast,2022,smoking,14.604203991827754,12726
SouthEast,2023,smoking,13.071665897554222,10835
