year,state,measure,prevalence_pct,sample_size
2011,AL,smoking,24.3,1490
2011,AR,smoking,27.0,928
2011,DC,smoking,20.8,690
2011,DE,smoking,21.8,839
2011,FL,smoking,19.3,2080
2011,GA,smoking,21.2,1612
2011,KY,smoking,29.0,2528
2011,LA,smoking,25.7,2174
2011,MD,smoking,19.1,1477
2011,MS,smoking,26.0,1752
2011,NC,smoking,21.8,2020
2011,SC,smoking,23.1,2367
2011,TN,smoking,23.0,1140
2011,VA,smoking,20.9,1138
2011,WV,smoking,28.6,1256
2012,AL,smoking,23.8,1643
2012,AR,smoking,25.0,1017
2012,DC,smoking,19.6,508
2012,DE,smoking,19.7,855
2012,FL,smoking,17.7,1123
2012,GA,smoking,20.4,970
2012,KY,smoking,28.3,2551
2012,LA,smoking,24.8,1706
2012,MD,smoking,16.2,1704
2012,MS,smoking,24.0,1422
2012,NC,smoking,20.9,2154
2012,SC,smoking,22.5,2172
2012,TN,smoking,24.9,1481
2012,VA,smoking,19.0,1095
2012,WV,smoking,28.2,1287
2013,AL,smoking,21.5,1102
2013,AR,smoking,25.9,1005
2013,DC,smoking,18.8,631
2013,DE,smoking,19.6,842
2013,FL,smoking,16.8,5384
2013,GA,smoking,18.8,1180
2013,KY,smoking,26.5,2382
2013,LA,smoking,23.5,894
2013,MD,smoking,16.4,1681
2013,MS,smoking,24.8,1355
2013,NC,smoking,20.3,1543
2013,SC,smoking,22.0,1794
2013,TN,smoking,24.3,1175
2013,VA,smoking,19.0,1393
2013,WV,smoking,27.3,1388
2014,AL,smoking,21.1,1490
2014,AR,smoking,24.7,917
2014,DC,smoking,16.4,484
2014,DE,smoking,19.9,655
2014,FL,smoking,17.7,1271
2014,GA,smoking,17.4,843
2014,KY,smoking,26.2,2278
2014,LA,smoking,24.0,1319
2014,MD,smoking,14.6,1425
2014,MS,smoking,23.0,704
2014,NC,smoking,19.1,1165
2014,SC,smoking,21.5,1829
2014,TN,smoking,24.2,969
2014,VA,smoking,19.5,1457
2014,WV,smoking,26.7,1367
2015,AL,smoking,21.4,1393
2015,AR,smoking,24.9,846
2015,DC,smoking,16.0,488
2015,DE,smoking,17.4,612
2015,FL,smoking,15.8,1218
2015,GA,smoking,17.7,663
2015,KY,smoking,26.0,1793
2015,LA,smoking,21.9,799
2015,MD,smoking,15.1,1396
2015,MS,smoking,22.6,998
2015,NC,smoking,19.0,1088
2015,SC,smoking,19.7,1791
2015,TN,smoking,21.9,1105
2015,VA,smoking,16.5,1247
2015,WV,smoking,25.7,1336
2016,AL,smoking,21.5,1260
2016,AR,smoking,23.6,854
2016,DC,smoking,14.7,561
2016,DE,smoking,17.7,646
2016,FL,smoking,15.5,5475
2016,GA,smoking,17.9,810
2016,KY,smoking,24.5,2019
2016,LA,smoking,22.8,883
2016,MD,smoking,13.7,2131
2016,MS,smoking,22.7,904
2016,NC,smoking,17.9,1078
2016,SC,smoking,20.0,1703
2016,TN,smoking,22.1,1178
2016,VA,smoking,15.3,1262
2016,WV,smoking,24.8,1523
2017,AL,smoking,20.9,1143
2017,AR,smoking,22.3,809
2017,DC,smoking,14.4,558
2017,DE,smoking,17.0,594
2017,FL,smoking,16.1,3753
2017,GA,smoking,17.4,853
2017,KY,smoking,24.6,1749
2017,LA,smoking,23.0,904
2017,MD,smoking,13.8,1515
2017,MS,smoking,22.2,835
2017,NC,smoking,17.2,765
2017,SC,smoking,18.8,1620
2017,TN,smoking,22.6,1173
2017,VA,smoking,16.4,1336
2017,WV,smoking,26.0,1184
2018,AL,smoking,19.2,1067
2018,AR,smoking,22.7,877
2018,DC,smoking,13.8,504
2018,DE,smoking,16.5,768
2018,FL,smoking,14.5,2480
2018,GA,smoking,16.1,1259
2018,KY,smoking,23.4,1649
2018,LA,smoking,20.5,941
2018,MD,smoking,12.6,1871
2018,MS,smoking,20.5,1076
2018,NC,smoking,17.4,756
2018,SC,smoking,18.0,1502
2018,TN,smoking,20.7,1002
2018,VA,smoking,15.0,1451
2018,WV,smoking,25.2,1018
2019,AL,smoking,20.2,1158
2019,AR,smoking,20.2,825
2019,DC,smoking,12.7,286
2019,DE,smoking,15.9,528
2019,FL,smoking,14.8,2639
2019,GA,smoking,16.3,1116
2019,KY,smoking,23.6,1577
2019,LA,smoking,21.9,856
2019,MD,smoking,12.7,1922
2019,MS,smoking,20.4,847
2019,NC,smoking,18.5,681
2019,SC,smoking,17.6,1031
2019,TN,smoking,19.9,1131
2019,VA,smoking,14.0,1295
2019,WV,smoking,23.8,1042
2020,AL,smoking,18.5,805
2020,AR,smoking,20.5,793
2020,DC,smoking,11.3,320
2020,DE,smoking,15.1,534
2020,FL,smoking,14.7,1739
2020,GA,smoking,15.8,1280
2020,KY,smoking,21.4,729
2020,LA,smoking,18.3,736
2020,MD,smoking,10.9,1520
2020,MS,smoking,20.1,1023
2020,NC,smoking,16.5,861
2020,SC,smoking,18.1,577
2020,TN,smoking,19.5,823
2020,VA,smoking,13.6,1188
2020,WV,smoking,22.6,1157
2021,AL,smoking,17.2,628
2021,AR,smoking,21.1,770
2021,DC,smoking,9.5,270
2021,DE,smoking,13.4,414
2021,GA,smoking,15.0,967
2021,KY,smoking,19.6,986
2021,LA,smoking,19.5,792
2021,MD,smoking,10.1,1496
2021,MS,smoking,19.6,696
2021,NC,smoking,14.4,652
2021,SC,smoking,15.5,1213
2021,TN,smoking,19.7,807
2021,VA,smoking,12.4,1025
2021,WV,smoking,22.0,1180
2022,AL,smoking,15.6,597
2022,AR,smoking,18.7,786
2022,DC,smoking,10.6,274
2022,DE,smoking,12.9,446
2022,FL,smoking,11.3,1497
2022,GA,smoking,12.5,984
2022,KY,smoking,17.4,688
2022,LA,smoking,16.7,799
2022,MD,smoking,9.6,1499
2022,MS,smoking,17.4,635
2022,NC,smoking,14.5,561
2022,SC,smoking,15.4,1125
2022,TN,smoking,18.5,871
2022,VA,smoking,12.1,1079
2022,WV,smoking,21.0,885
2023,AL,smoking,14.2,548
2023,AR,smoking,15.0,686
2023,DC,smoking,9.8,225
2023,DE,smoking,11.4,427
2023,FL,smoking,10.5,1448
2023,GA,smoking,12.0,853
2023,LA,smoking,15.7,797
2023,MD,smoking,9.1,1494
2023,MS,smoking,15.6,574
2023,NC,smoking,13.2,485
2023,SC,smoking,12.1,1002
2023,TN,smoking,17.0,898
2023,VA,smoking,10.9,666
2023,WV,smoking,20.4,732
