year,state,measure,prevalence_pct,sample_size
2011,AZ,obesity,25.1,1546
2011,NM,obesity,26.3,2310
2011,OK,obesity,31.1,2542
2011,TX,obesity,30.4,4061
2012,AZ,obesity,26.0,1814
2012,NM,obesity,27.1,2226
2012,OK,obesity,32.2,2474
2012,TX,obesity,29.2,2535
2013,AZ,obesity,26.8,1067
2013,NM,obesity,26.4,2405
2013,OK,obesity,32.5,2544
2013,TX,obesity,30.9,3112
2014,AZ,obesity,28.9,3777
2014,NM,obesity,28.4,2290
2014,OK,obesity,33.0,2643
2014,TX,obesity,31.9,4403
2015,AZ,obesity,28.4,1907
2015,NM,obesity,28.8,1732
2015,OK,obesity,33.9,2155
2015,TX,obesity,32.4,4275
2016,AZ,obesity,29.0,2731
2016,NM,obesity,28.3,1586
2016,OK,obesity,32.8,2079
2016,TX,obesity,33.6,3507
2017,AZ,obesity,29.5,4031
2017,NM,obesity,28.4,1758
2017,OK,obesity,36.5,2137
2017,TX,obesity,33.0,3761
2018,AZ,obesity,29.5,2211
2018,NM,obesity,32.3,1917
2018,OK,obesity,34.8,1705
2018,TX,obesity,34.8,3465
2019,AZ,obesity,31.4,2451
2019,NM,obesity,31.7,1686
2019,OK,obesity,36.8,2091
2019,TX,obesity,34.0,3825
2020,AZ,obesity,30.9,2735
2020,NM,obesity,30.9,1879
2020,OK,obesity,36.4,1658
2020,TX,obesity,35.8,3527
2021,AZ,obesity,31.3,3008
2021,NM,obesity,34.6,1972
2021,OK,obesity,39.4,1917
2021,TX,obesity,36.1,3408
2022,AZ,obesity,33.2,2915
2022,NM,obesity,32.4,1372
2022,OK,obesity,40.0,2097
2022,TX,obesity,35.5,4413
2023,AZ,obesity,31.9,3292
2023,NM,obesity,35.3,992
2023,OK,obesity,38.7,2389
2023,TX,obesity,34.4,3128
