measure,direction,rank,state,start_year,end_year,start_value,end_value,abs_change,pct_change
obesity,increase,1,PR,2011,2023,26.3,36.0,9.7,36.88
obesity,increase,2,AR,2011,2023,30.9,40.0,9.1,29.45
obesity,increase,3,NM,2011,2023,26.3,35.3,9.0,34.22
obesity,increase,4,IL,2011,2023,27.1,36.0,8.9,32.84
obesity,increase,5,IA,2011,2023,29.0,37.8,8.8,30.34
obesity,increase,6,WV,2011,2023,32.4,41.2,8.8,27.16
obesity,increase,7,TN,2011,2023,29.2,37.6,8.4,28.77
obesity,increase,8,WY,2011,2023,25.0,33.3,8.3,33.2
obesity,increase,9,NE,2011,2023,28.4,36.6,8.2,28.87
obesity,increase,10,WI,2011,2023,27.7,35.9,8.2,29.6
obesity,decrease,1,DC,2011,2023,23.8,23.5,-0.3,-1.26
obesity,decrease,2,VT,2011,2023,25.4,28.8,3.4,13.39
obesity,decrease,3,FL,2011,2023,26.6,30.1,3.5,13.16
obesity,decrease,4,NY,2011,2023,24.5,28.0,3.5,14.29
obesity,decrease,5,CA,2011,2023,23.8,27.7,3.9,16.39
obesity,decrease,6,ID,2011,2023,27.1,31.0,3.9,14.39
obesity,decrease,7,TX,2011,2023,30.4,34.4,4.0,13.16
obesity,decrease,8,WA,2011,2023,26.5,30.6,4.1,15.47
obesity,decrease,9,CO,2011,2023,20.7,24.8,4.1,19.81
obesity,decrease,10,MI,2011,2023,31.3,35.4,4.1,13.1
coverage,increase,1,LA,2011,2023,73.2,93.4,20.2,27.6
coverage,increase,2,WV,2011,2023,75.0,92.7,17.7,23.6
coverage,increase,3,MS,2011,2023,69.3,86.4,17.1,24.68
coverage,increase,4,AR,2011,2023,70.7,86.1,15.4,21.78
coverage,increase,5,ID,2011,2023,73.5,88.6,15.1,20.54
coverage,increase,6,OR,2011,2023,77.4,92.5,15.1,19.51
coverage,increase,7,NV,2011,2023,67.9,82.8,14.9,21.94
coverage,increase,8,FL,2011,2023,70.0,84.6,14.6,20.86
coverage,increase,9,IN,2011,2023,76.4,90.9,14.5,18.98
coverage,increase,10,OK,2011,2023,73.4,87.6,14.2,19.35
coverage,decrease,1,DE,2011,2023,87.4,91.4,4.0,4.58
coverage,decrease,2,MA,2011,2023,92.3,96.5,4.2,4.55
coverage,decrease,3,DC,2011,2023,91.5,95.9,4.4,4.81
coverage,decrease,4,SD,2011,2023,84.6,89.8,5.2,6.15
coverage,decrease,5,CT,2011,2023,85.2,90.5,5.3,6.22
coverage,decrease,6,PR,2011,2023,88.8,94.1,5.3,5.97
coverage,decrease,7,VT,2011,2023,88.9,94.8,5.9,6.64
coverage,decrease,8,NJ,2011,2023,82.1,88.6,6.5,7.92
coverage,decrease,9,MD,2011,2023,84.7,91.3,6.6,7.79
coverage,decrease,10,MN,2011,2023,86.5,93.1,6.6,7.63
smoking,increase,1,CA,2011,2023,13.7,8.5,-5.2,-37.96
smoking,increase,2,UT,2011,2023,11.8,5.9,-5.9,-50.0
smoking,increase,3,TN,2011,2023,23.0,17.0,-6.0,-26.09
smoking,increase,4,PR,2011,2023,14.8,8.7,-6.1,-41.22
smoking,increase,5,IA,2011,2023,20.4,13.7,-6.7,-32.84
smoking,increase,6,ID,2011,2023,17.2,10.4,-6.8,-39.53
smoking,increase,7,MN,2011,2023,19.1,12.2,-6.9,-36.13
smoking,increase,8,AK,2011,2023,22.9,15.3,-7.6,-33.19
smoking,increase,9,NJ,2011,2023,16.8,9.1,-7.7,-45.83
smoking,increase,10,SD,2011,2023,23.0,15.2,-7.8,-33.91
smoking,decrease,1,GU,2011,2023,30.5,18.0,-12.5,-40.98
smoking,decrease,2,AR,2011,2023,27.0,15.0,-12.0,-44.44
smoking,decrease,3,IN,2011,2023,25.6,14.4,-11.2,-43.75
smoking,decrease,4,SC,2011,2023,23.1,12.1,-11.0,-47.62
smoking,decrease,5,DC,2011,2023,20.8,9.8,-11.0,-52.88
smoking,decrease,6,RI,2011,2023,20.0,9.5,-10.5,-52.5
smoking,decrease,7,DE,2011,2023,21.8,11.4,-10.4,-47.71
smoking,decrease,8,MS,2011,2023,26.0,15.6,-10.4,-40.0
smoking,decrease,9,OK,2011,2023,26.1,15.8,-10.3,-39.46
smoking,decrease,10,AL,2011,2023,24.3,14.2,-10.1,-41.56
