state,measure,start_year,end_year,start_value,end_value,abs_change,pct_change
PR,obesity,2011,2023,26.3,36.0,9.7,36.88
AR,obesity,2011,2023,30.9,40.0,9.1,29.45
NM,obesity,2011,2023,26.3,35.3,9.0,34.22
IL,obesity,2011,2023,27.1,36.0,8.9,32.84
IA,obesity,2011,2023,29.0,37.8,8.8,30.34
WV,obesity,2011,2023,32.4,41.2,8.8,27.16
TN,obesity,2011,2023,29.2,37.6,8.4,28.77
WY,obesity,2011,2023,25.0,33.3,8.3,33.2
NE,obesity,2011,2023,28.4,36.6,8.2,28.87
WI,obesity,2011,2023,27.7,35.9,8.2,29.6
GU,obesity,2011,2023,27.4,35.4,8.0,29.2
SD,obesity,2011,2023,28.1,36.0,7.9,28.11
ND,obesity,2011,2023,27.8,35.6,7.8,28.06
AK,obesity,2011,2023,27.4,35.2,7.8,28.47
OK,obesity,2011,2023,31.1,38.7,7.6,24.44
MN,obesity,2011,2023,25.7,33.2,7.5,29.18
AL,obesity,2011,2023,32.0,39.2,7.2,22.5
IN,obesity,2011,2023,30.8,37.8,7.0,22.73
GA,obesity,2011,2023,28.0,35.0,7.0,25.0
OR,obesity,2011,2023,26.7,33.6,6.9,25.84
DE,obesity,2011,2023,28.8,35.7,6.9,23.96
AZ,obesity,2011,2023,25.1,31.9,6.8,27.09
US,obesity,2011,2023,27.7,34.4,6.7,24.19
OH,obesity,2011,2023,29.7,36.4,6.7,22.56
LA,obesity,2011,2023,33.4,39.9,6.5,19.46
UW,obesity,2011,2023,27.8,34.3,6.5,23.38
KS,obesity,2011,2023,29.6,35.9,6.3,21.28
NV,obesity,2011,2023,24.5,30.8,6.3,25.71
NH,obesity,2011,2023,26.5,32.8,6.3,23.77
RI,obesity,2011,2023,25.4,31.6,6.2,24.41
MT,obesity,2011,2023,24.6,30.5,5.9,23.98
MD,obesity,2011,2023,28.3,34.1,5.8,20.49
UT,obesity,2011,2023,24.4,30.2,5.8,23.77
MS,obesity,2011,2023,34.9,40.1,5.2,14.9
NJ,obesity,2011,2023,23.7,28.9,5.2,21.94
SC,obesity,2011,2023,30.8,36.0,5.2,16.88
VA,obesity,2011,2023,29.2,34.3,5.1,17.47
MO,obesity,2011,2023,30.3,35.3,5.0,16.5
NC,obesity,2011,2023,29.1,34.0,4.9,16.84
CT,obesity,2011,2023,24.5,29.4,4.9,20.0
ME,obesity,2011,2023,27.8,32.6,4.8,17.27
MA,obesity,2011,2023,22.7,27.4,4.7,20.7
HI,obesity,2011,2023,21.9,26.1,4.2,19.18
CO,obesity,2011,2023,20.7,24.8,4.1,19.81
MI,obesity,2011,2023,31.3,35.4,4.1,13.1
WA,obesity,2011,2023,26.5,30.6,4.1,15.47
TX,obesity,2011,2023,30.4,34.4,4.0,13.16
ID,obesity,2011,2023,27.1,31.0,3.9,14.39
CA,obesity,2011,2023,23.8,27.7,3.9,16.39
NY,obesity,2011,2023,24.5,28.0,3.5,14.29
FL,obesity,2011,2023,26.6,30.1,3.5,13.16
VT,obesity,2011,2023,25.4,28.8,3.4,13.39
DC,obesity,2011,2023,23.8,23.5,-0.3,-1.26
