state,measure,start_year,end_year,start_value,end_value,abs_change,pct_change
CA,smoking,2011,2023,13.7,8.5,-5.2,-37.96
UT,smoking,2011,2023,11.8,5.9,-5.9,-50.0
TN,smoking,2011,2023,23.0,17.0,-6.0,-26.09
PR,smoking,2011,2023,14.8,8.7,-6.1,-41.22
IA,smoking,2011,2023,20.4,13.7,-6.7,-32.84
ID,smoking,2011,2023,17.2,10.4,-6.8,-39.53
MN,smoking,2011,2023,19.1,12.2,-6.9,-36.13
AK,smoking,2011,2023,22.9,15.3,-7.6,-33.19
NJ,smoking,2011,2023,16.8,9.1,-7.7,-45.83
SD,smoking,2011,2023,23.0,15.2,-7.8,-33.91
VT,smoking,2011,2023,19.1,11.3,-7.8,-40.84
HI,smoking,2011,2023,16.8,9.0,-7.8,-46.43
NE,smoking,2011,2023,20.0,12.1,-7.9,-39.5
TX,smoking,2011,2023,19.2,11.3,-7.9,-41.15
KS,smoking,2011,2023,22.0,13.9,-8.1,-36.82
CO,smoking,2011,2023,18.3,10.2,-8.1,-44.26
WV,smoking,2011,2023,28.6,20.4,-8.2,-28.67
MA,smoking,2011,2023,18.2,9.8,-8.4,-46.15
WA,smoking,2011,2023,17.5,9.0,-8.5,-48.57
ND,smoking,2011,2023,21.9,13.4,-8.5,-38.81
NC,smoking,2011,2023,21.8,13.2,-8.6,-39.45
CT,smoking,2011,2023,17.1,8.4,-8.7,-50.88
NV,smoking,2011,2023,22.9,14.2,-8.7,-37.99
NY,smoking,2011,2023,18.1,9.3,-8.8,-48.62
FL,smoking,2011,2023,19.3,10.5,-8.8,-45.6
ME,smoking,2011,2023,22.8,14.0,-8.8,-38.6
WI,smoking,2011,2023,20.9,12.0,-8.9,-42.58
NH,smoking,2011,2023,19.3,10.4,-8.9,-46.11
WY,smoking,2011,2023,23.0,14.0,-9.0,-39.13
UW,smoking,2011,2023,21.2,12.1,-9.1,-42.92
OR,smoking,2011,2023,19.7,10.6,-9.1,-46.19
US,smoking,2011,2023,21.2,12.1,-9.1,-42.92
GA,smoking,2011,2023,21.2,12.0,-9.2,-43.4
NM,smoking,2011,2023,21.5,12.2,-9.3,-43.26
AZ,smoking,2011,2023,19.3,10.0,-9.3,-48.19
MO,smoking,2011,2023,25.0,15.3,-9.7,-38.8
MI,smoking,2011,2023,23.3,13.6,-9.7,-41.63
MT,smoking,2011,2023,22.1,12.4,-9.7,-43.89
LA,smoking,2011,2023,25.7,15.7,-10.0,-38.91
VA,smoking,2011,2023,20.9,10.9,-10.0,-47.85
MD,smoking,2011,2023,19.1,9.1,-10.0,-52.36
AL,smoking,2011,2023,24.3,14.2,-10.1,-41.56
IL,smoking,2011,2023,20.9,10.8,-10.1,-48.33
OH,smoking,2011,2023,25.1,15.0,-10.1,-40.24
OK,smoking,2011,2023,26.1,15.8,-10.3,-39.46
DE,smoking,2011,2023,21.8,11.4,-10.4,-47.71
MS,smoking,2011,2023,26.0,15.6,-10.4,-40.0
RI,smoking,2011,2023,20.0,9.5,-10.5,-52.5
DC,smoking,2011,2023,20.8,9.8,-11.0,-52.88
SC,smoking,2011,2023,23.1,12.1,-11.0,-47.62
IN,smoking,2011,2023,25.6,14.4,-11.2,-43.75
AR,smoking,2011,2023,27.0,15.0,-12.0,-44.44
GU,smoking,2011,2023,30.5,18.0,-12.5,-40.98
