year,state,measure,prevalence_pct,sample_size
2011,AK,coverage,77.6,2303
2011,CA,coverage,78.5,10369
2011,CO,coverage,79.0,7835
2011,HI,coverage,88.6,4501
2011,ID,coverage,73.5,3166
2011,MT,coverage,75.9,5486
2011,NV,coverage,67.9,2895
2011,OR,coverage,77.4,3371
2011,UT,coverage,78.4,7795
2011,WA,coverage,78.7,7998
2011,WY,coverage,75.3,3851
2012,AK,coverage,80.1,2838
2012,CA,coverage,74.9,8023
2012,CO,coverage,78.6,7063
2012,HI,coverage,87.3,4839
2012,ID,coverage,76.6,2925
2012,MT,coverage,76.8,4548
2012,NV,coverage,69.8,2415
2012,OR,coverage,76.7,2755
2012,UT,coverage,79.6,7536
2012,WA,coverage,78.8,8472
2012,WY,coverage,75.2,3049
2013,AK,coverage,79.8,2967
2013,CA,coverage,79.7,6841
2013,CO,coverage,80.0,7811
2013,HI,coverage,90.0,4888
2013,ID,coverage,75.9,2841
2013,MT,coverage,78.5,5240
2013,NV,coverage,72.7,2672
2013,OR,coverage,75.0,3108
2013,UT,coverage,80.8,7943
2013,WA,coverage,79.4,6078
2013,WY,coverage,76.4,3140
2014,AK,coverage,82.9,2882
2014,CA,coverage,82.2,5443
2014,CO,coverage,84.7,7803
2014,HI,coverage,90.2,4510
2014,ID,coverage,79.8,2845
2014,MT,coverage,83.9,3961
2014,NV,coverage,79.2,2029
2014,OR,coverage,86.5,2812
2014,UT,coverage,83.8,9752
2014,WA,coverage,87.1,5736
2014,WY,coverage,81.5,2997
2015,AK,coverage,82.8,2327
2015,CA,coverage,86.5,8443
2015,CO,coverage,87.1,7876
2015,HI,coverage,91.2,4418
2015,ID,coverage,82.5,3059
2015,MT,coverage,84.9,3182
2015,NV,coverage,82.3,1593
2015,OR,coverage,89.8,2979
2015,UT,coverage,86.7,7610
2015,WA,coverage,88.0,9114
2015,WY,coverage,83.0,2624
2016,AK,coverage,87.7,1859
2016,CA,coverage,87.2,7556
2016,CO,coverage,87.3,8591
2016,HI,coverage,91.7,4867
2016,ID,coverage,81.1,2653
2016,MT,coverage,87.6,3219
2016,NV,coverage,82.1,2396
2016,OR,coverage,88.6,3256
2016,UT,coverage,86.7,6833
2016,WA,coverage,89.4,8196
2016,WY,coverage,83.2,2287
2017,AK,coverage,87.7,1983
2017,CA,coverage,87.3,6168
2017,CO,coverage,86.7,5721
2017,HI,coverage,92.2,4836
2017,ID,coverage,80.4,2633
2017,MT,coverage,87.2,3257
2017,NV,coverage,80.6,1991
2017,OR,coverage,87.8,3130
2017,UT,coverage,85.6,6503
2017,WA,coverage,89.3,7679
2017,WY,coverage,82.6,2374
2018,AK,coverage,87.5,1634
2018,CA,coverage,86.2,7787
2018,CO,coverage,86.0,4999
2018,HI,coverage,91.9,4784
2018,ID,coverage,80.4,1832
2018,MT,coverage,86.8,2807
2018,NV,coverage,83.2,1814
2018,OR,coverage,88.1,3555
2018,UT,coverage,85.0,6682
2018,WA,coverage,89.0,7102
2018,WY,coverage,81.8,2196
2019,AK,coverage,88.8,1800
2019,CA,coverage,85.0,7193
2019,CO,coverage,85.1,5087
2019,HI,coverage,91.4,4487
2019,ID,coverage,79.4,2798
2019,MT,coverage,87.7,3533
2019,NV,coverage,79.7,1557
2019,OR,coverage,87.1,3619
2019,UT,coverage,85.0,7182
2019,WA,coverage,88.1,7124
2019,WY,coverage,80.3,2034
2020,AK,coverage,87.1,2120
2020,CA,coverage,86.8,3096
2020,CO,coverage,85.5,5967
2020,HI,coverage,91.8,4699
2020,ID,coverage,82.5,3291
2020,MT,coverage,88.5,3530
2020,NV,coverage,81.2,1374
2020,OR,coverage,88.6,3248
2020,UT,coverage,86.0,6606
2020,WA,coverage,88.6,7296
2020,WY,coverage,81.5,2038
2021,AK,coverage,89.1,3121
2021,CA,coverage,89.7,4277
2021,CO,coverage,87.9,6296
2021,HI,coverage,96.5,4686
2021,ID,coverage,90.3,3811
2021,MT,coverage,90.6,3294
2021,NV,coverage,86.3,1459
2021,OR,coverage,92.0,3354
2021,UT,coverage,89.6,6456
2021,WA,coverage,92.0,7053
2021,WY,coverage,83.2,1831
2022,AK,coverage,90.2,3320
2022,CA,coverage,91.4,6833
2022,CO,coverage,88.9,5742
2022,HI,coverage,97.1,4459
2022,ID,coverage,89.7,3671
2022,MT,coverage,91.6,3561
2022,NV,coverage,84.5,1678
2022,OR,coverage,92.9,3637
2022,UT,coverage,89.4,5978
2022,WA,coverage,92.2,14419
2022,WY,coverage,86.0,1943
2023,AK,coverage,90.8,3105
2023,CA,coverage,91.1,6728
2023,CO,coverage,88.4,5071
2023,HI,coverage,97.0,4410
2023,ID,coverage,88.6,3821
2023,MT,coverage,89.3,3465
2023,NV,coverage,82.8,1327
2023,OR,coverage,92.5,3632
2023,UT,coverage,89.7,6511
2023,WA,coverage,91.2,14742
2023,WY,coverage,85.6,1851
