year,state,measure,prevalence_pct,sample_size
2011,AK,obesity,27.4,950
2011,CA,obesity,23.8,3971
2011,CO,obesity,20.7,2732
2011,HI,obesity,21.9,1538
2011,ID,obesity,27.1,1570
2011,MT,obesity,24.6,2500
2011,NV,obesity,24.5,1277
2011,OR,obesity,26.7,1556
2011,UT,obesity,24.4,2955
2011,WA,obesity,26.5,3799
2011,WY,obesity,25.0,1657
2012,AK,obesity,25.7,1181
2012,CA,obesity,25.0,3278
2012,CO,obesity,20.5,2424
2012,HI,obesity,23.6,1606
2012,ID,obesity,26.8,1541
2012,MT,obesity,24.3,2154
2012,NV,obesity,26.2,1118
2012,OR,obesity,27.3,1349
2012,UT,obesity,24.3,2972
2012,WA,obesity,26.8,3926
2012,WY,obesity,24.6,1497
2013,AK,obesity,28.4,1282
2013,CA,obesity,24.1,2563
2013,CO,obesity,21.3,2704
2013,HI,obesity,21.8,1617
2013,ID,obesity,29.6,1552
2013,MT,obesity,24.6,2475
2013,NV,obesity,26.2,1239
2013,OR,obesity,26.5,1487
2013,UT,obesity,24.1,2988
2013,WA,obesity,27.2,2900
2013,WY,obesity,27.8,1658
2014,AK,obesity,29.7,1239
2014,CA,obesity,24.7,1967
2014,CO,obesity,21.3,2702
2014,HI,obesity,22.1,1483
2014,ID,obesity,28.9,1415
2014,MT,obesity,26.4,1944
2014,NV,obesity,27.7,923
2014,OR,obesity,27.9,1357
2014,UT,obesity,25.7,3656
2014,WA,obesity,27.3,2602
2014,WY,obesity,29.5,1647
2015,AK,obesity,29.8,1063
2015,CA,obesity,24.2,2798
2015,CO,obesity,20.2,2682
2015,HI,obesity,22.7,1502
2015,ID,obesity,28.6,1591
2015,MT,obesity,23.6,1430
2015,NV,obesity,26.7,700
2015,OR,obesity,30.0,1412
2015,UT,obesity,24.5,2703
2015,WA,obesity,26.4,4028
2015,WY,obesity,29.0,1386
2016,AK,obesity,31.4,872
2016,CA,obesity,25.0,2548
2016,CO,obesity,22.3,3053
2016,HI,obesity,23.8,1767
2016,ID,obesity,27.4,1397
2016,MT,obesity,25.5,1551
2016,NV,obesity,25.8,1056
2016,OR,obesity,28.7,1419
2016,UT,obesity,25.4,2722
2016,WA,obesity,28.6,3716
2016,WY,obesity,27.7,1166
2017,AK,obesity,34.2,1027
2017,CA,obesity,25.1,2118
2017,CO,obesity,22.6,2070
2017,HI,obesity,23.8,1739
2017,ID,obesity,29.3,1360
2017,MT,obesity,25.3,1575
2017,NV,obesity,26.7,901
2017,OR,obesity,29.4,1390
2017,UT,obesity,25.2,2517
2017,WA,obesity,27.7,3422
2017,WY,obesity,28.8,1223
2018,AK,obesity,29.5,778
2018,CA,obesity,25.8,2914
2018,CO,obesity,23.0,1887
2018,HI,obesity,24.9,1851
2018,ID,obesity,28.4,1000
2018,MT,obesity,26.8,1485
2018,NV,obesity,29.5,864
2018,OR,obesity,29.9,1664
2018,UT,obesity,27.8,2866
2018,WA,obesity,28.7,3486
2018,WY,obesity,29.0,1212
2019,AK,obesity,30.5,839
2019,CA,obesity,26.2,2844
2019,CO,obesity,23.8,2077
2019,HI,obesity,25.0,1823
2019,ID,obesity,29.4,1514
2019,MT,obesity,28.3,1807
2019,NV,obesity,30.6,781
2019,OR,obesity,29.0,1637
2019,UT,obesity,29.2,3313
2019,WA,obesity,28.3,3414
2019,WY,obesity,29.7,1212
2020,AK,obesity,31.9,1073
2020,CA,obesity,30.2,1203
2020,CO,obesity,24.2,2222
2020,HI,obesity,24.5,1744
2020,ID,obesity,31.1,1723
2020,MT,obesity,28.5,1709
2020,NV,obesity,28.7,667
2020,OR,obesity,28.0,1377
2020,UT,obesity,28.6,2880
2020,WA,obesity,28.0,3340
2020,WY,obesity,30.7,1318
2021,AK,obesity,33.5,1679
2021,CA,obesity,27.6,1714
2021,CO,obesity,25.1,2345
2021,HI,obesity,25.0,1778
2021,ID,obesity,31.6,1995
2021,MT,obesity,31.8,1849
2021,NV,obesity,31.3,747
2021,OR,obesity,30.4,1507
2021,UT,obesity,30.9,2978
2021,WA,obesity,28.8,3444
2021,WY,obesity,32.0,1191
2022,AK,obesity,32.1,1694
2022,CA,obesity,28.1,2604
2022,CO,obesity,25.0,2143
2022,HI,obesity,25.9,1771
2022,ID,obesity,33.2,1875
2022,MT,obesity,30.5,2050
2022,NV,obesity,33.5,899
2022,OR,obesity,30.9,1672
2022,UT,obesity,31.1,2721
2022,WA,obesity,31.7,7113
2022,WY,obesity,34.2,1248
2023,AK,obesity,35.2,1757
2023,CA,obesity,27.7,2840
2023,CO,obesity,24.8,1995
2023,HI,obesity,26.1,1883
2023,ID,obesity,31.0,1988
2023,MT,obesity,30.5,2076
2023,NV,obesity,30.8,733
2023,OR,obesity,33.6,1893
2023,UT,obesity,30.2,3035
2023,WA,obesity,30.6,7333
2023,WY,obesity,33.3,1319
