year,state,measure,prevalence_pct,sample_size
2011,AK,smoking,22.9,743
2011,CA,smoking,13.7,2052
2011,CO,smoking,18.3,1963
2011,HI,smoking,16.8,1038
2011,ID,smoking,17.2,855
2011,MT,smoking,22.1,1867
2011,NV,smoking,22.9,1083
2011,OR,smoking,19.7,985
2011,UT,smoking,11.8,1272
2011,WA,smoking,17.5,1996
2011,WY,smoking,23.0,1249
2012,AK,smoking,20.5,842
2012,CA,smoking,12.6,1632
2012,CO,smoking,17.7,1737
2012,HI,smoking,14.6,1057
2012,ID,smoking,16.4,793
2012,MT,smoking,19.7,1520
2012,NV,smoking,18.1,851
2012,OR,smoking,17.9,721
2012,UT,smoking,10.6,1050
2012,WA,smoking,17.2,2040
2012,WY,smoking,21.8,947
2013,AK,smoking,22.6,923
2013,CA,smoking,12.5,1223
2013,CO,smoking,17.7,1831
2013,HI,smoking,13.3,981
2013,ID,smoking,17.2,791
2013,MT,smoking,19.0,1675
2013,NV,smoking,19.4,888
2013,OR,smoking,17.3,800
2013,UT,smoking,10.3,1102
2013,WA,smoking,16.1,1427
2013,WY,smoking,20.6,973
2014,AK,smoking,19.9,749
2014,CA,smoking,12.9,962
2014,CO,smoking,15.7,1586
2014,HI,smoking,14.1,925
2014,ID,smoking,15.9,753
2014,MT,smoking,19.9,1211
2014,NV,smoking,17.0,563
2014,OR,smoking,17.0,667
2014,UT,smoking,9.7,1213
2014,WA,smoking,15.3,1141
2014,WY,smoking,19.5,875
2015,AK,smoking,19.1,639
2015,CA,smoking,11.7,1295
2015,CO,smoking,15.6,1673
2015,HI,smoking,14.1,857
2015,ID,smoking,13.8,707
2015,MT,smoking,18.9,934
2015,NV,smoking,17.6,446
2015,OR,smoking,17.1,716
2015,UT,smoking,9.1,885
2015,WA,smoking,15.0,1843
2015,WY,smoking,19.1,773
2016,AK,smoking,19.0,523
2016,CA,smoking,11.0,1139
2016,CO,smoking,15.6,1743
2016,HI,smoking,13.0,934
2016,ID,smoking,14.5,627
2016,MT,smoking,18.5,951
2016,NV,smoking,16.5,641
2016,OR,smoking,16.2,717
2016,UT,smoking,8.8,807
2016,WA,smoking,14.0,1603
2016,WY,smoking,19.0,624
2017,AK,smoking,21.0,539
2017,CA,smoking,11.3,954
2017,CO,smoking,14.6,1113
2017,HI,smoking,12.8,890
2017,ID,smoking,14.4,575
2017,MT,smoking,17.2,953
2017,NV,smoking,17.6,566
2017,OR,smoking,16.1,721
2017,UT,smoking,8.9,816
2017,WA,smoking,13.5,1501
2017,WY,smoking,18.7,653
2018,AK,smoking,19.1,464
2018,CA,smoking,11.2,1214
2018,CO,smoking,14.5,1050
2018,HI,smoking,13.4,964
2018,ID,smoking,14.7,463
2018,MT,smoking,18.0,861
2018,NV,smoking,15.7,484
2018,OR,smoking,15.6,834
2018,UT,smoking,9.0,846
2018,WA,smoking,12.0,1303
2018,WY,smoking,18.8,651
2019,AK,smoking,17.4,464
2019,CA,smoking,10.0,1102
2019,CO,smoking,13.5,1024
2019,HI,smoking,12.3,907
2019,ID,smoking,15.3,726
2019,MT,smoking,16.6,955
2019,NV,smoking,15.7,415
2019,OR,smoking,14.5,820
2019,UT,smoking,7.9,826
2019,WA,smoking,12.6,1422
2019,WY,smoking,18.4,610
2020,AK,smoking,18.0,588
2020,CA,smoking,8.9,383
2020,CO,smoking,12.4,1115
2020,HI,smoking,11.6,797
2020,ID,smoking,13.6,776
2020,MT,smoking,16.4,883
2020,NV,smoking,14.2,366
2020,OR,smoking,13.4,664
2020,UT,smoking,8.2,737
2020,WA,smoking,11.5,1350
2020,WY,smoking,18.5,637
2021,AK,smoking,17.1,824
2021,CA,smoking,8.8,547
2021,CO,smoking,12.0,1146
2021,HI,smoking,10.1,680
2021,ID,smoking,13.3,829
2021,MT,smoking,14.4,836
2021,NV,smoking,15.5,369
2021,OR,smoking,12.4,593
2021,UT,smoking,7.2,679
2021,WA,smoking,10.8,1215
2021,WY,smoking,16.4,523
2022,AK,smoking,15.9,808
2022,CA,smoking,9.7,937
2022,CO,smoking,10.7,906
2022,HI,smoking,10.0,697
2022,ID,smoking,11.9,680
2022,MT,smoking,15.2,900
2022,NV,smoking,14.8,416
2022,OR,smoking,12.4,674
2022,UT,smoking,6.7,573
2022,WA,smoking,10.0,2196
2022,WY,smoking,15.5,508
2023,AK,smoking,15.3,757
2023,CA,smoking,8.5,992
2023,CO,smoking,10.2,793
2023,HI,smoking,9.0,706
2023,ID,smoking,10.4,704
2023,MT,smoking,12.4,826
2023,NV,smoking,14.2,308
2023,OR,smoking,10.6,608
2023,UT,smoking,5.9,658
2023,WA,smoking,9.0,2183
2023,WY,smoking,14.0,486
